[12:28:21 WIB 2026-09-01] === MONITOR XAU V2 MULAI (update 28 Aug: self-lock + guard TF + wick sanity + state persist) ===
[12:28:21 WIB 2026-09-01]   [A] SELL LIMIT SELL entry=4538 SL=4550 TP1=4449 TP2=4370 (waiting)
[12:28:21 WIB 2026-09-01]   [B] BUY LIMIT BUY entry=4400 SL=4355 TP1=4450 TP2=4538 (waiting)
[12:28:21 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4427.18 | PINE=FLAT RSI=39.7
[12:41:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4439.67 | PINE=FLAT RSI=51.5
[12:42:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4442.19 | PINE=FLAT RSI=52.9
[12:42:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4442.19 | PINE=FLAT RSI=52.9
[12:43:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4442.69 | PINE=FLAT RSI=54.1
[12:43:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4442.69 | PINE=FLAT RSI=54.1
[12:44:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4440.78 | PINE=FLAT RSI=52.2
[12:44:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4440.78 | PINE=FLAT RSI=52.2
[12:45:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4442.90 | PINE=FLAT RSI=54.2
[12:45:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4442.90 | PINE=FLAT RSI=54.2
[12:46:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4444.93 | PINE=FLAT RSI=55.8
[12:46:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4444.93 | PINE=FLAT RSI=55.8
[12:47:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4443.41 | PINE=FLAT RSI=54.3
[12:47:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4443.41 | PINE=FLAT RSI=54.3
[12:48:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4444.55 | PINE=FLAT RSI=55.2
[12:48:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4444.55 | PINE=FLAT RSI=55.2
[12:49:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4444.89 | PINE=FLAT RSI=55.4
[12:49:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4444.89 | PINE=FLAT RSI=55.4
[12:50:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4444.27 | PINE=FLAT RSI=56
[12:50:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4444.27 | PINE=FLAT RSI=56
[12:51:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4443.35 | PINE=FLAT RSI=54.8
[12:51:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4443.35 | PINE=FLAT RSI=54.8
[12:52:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4441.95 | PINE=FLAT RSI=53.6
[12:52:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4441.95 | PINE=FLAT RSI=53.6
[12:53:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4442.73 | PINE=FLAT RSI=54.1
[12:53:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4442.73 | PINE=FLAT RSI=54.1
[12:54:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4442.64 | PINE=FLAT RSI=54.4
[12:54:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4442.64 | PINE=FLAT RSI=54.4
[12:55:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4443.30 | PINE=FLAT RSI=54.4
[12:55:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4443.30 | PINE=FLAT RSI=54.4
[12:56:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4444.44 | PINE=FLAT RSI=55.5
[12:56:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4444.44 | PINE=FLAT RSI=55.5
[12:57:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4445.24 | PINE=FLAT RSI=56.1
[12:57:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4445.24 | PINE=FLAT RSI=56.1
[12:58:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4444.75 | PINE=FLAT RSI=55.4
[12:58:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4444.75 | PINE=FLAT RSI=55.4
[12:59:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4442.45 | PINE=FLAT RSI=54.1
[12:59:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4442.45 | PINE=FLAT RSI=54.1
[13:00:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4439.70 | PINE=FLAT RSI=51.7
[13:00:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4439.70 | PINE=FLAT RSI=51.7
[13:01:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4439.58 | PINE=FLAT RSI=51.9
[13:01:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4439.58 | PINE=FLAT RSI=51.9
[13:02:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4437.87 | PINE=FLAT RSI=49.5
[13:02:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4437.87 | PINE=FLAT RSI=49.5
[13:03:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4437.55 | PINE=FLAT RSI=49.9
[13:03:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4437.55 | PINE=FLAT RSI=49.9
[13:04:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4436.68 | PINE=FLAT RSI=48.7
[13:04:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4436.68 | PINE=FLAT RSI=48.7
[13:05:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4436.55 | PINE=FLAT RSI=48.6
[13:05:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4436.55 | PINE=FLAT RSI=48.6
[13:06:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4437.76 | PINE=FLAT RSI=49.6
[13:06:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4437.76 | PINE=FLAT RSI=49.6
[13:07:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4436.73 | PINE=FLAT RSI=49
[13:07:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4436.73 | PINE=FLAT RSI=49
[13:08:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4438.02 | PINE=FLAT RSI=49.5
[13:08:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4438.02 | PINE=FLAT RSI=49.5
[13:09:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4436.87 | PINE=FLAT RSI=48.9
[13:09:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4436.87 | PINE=FLAT RSI=48.9
[13:10:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4436.30 | PINE=FLAT RSI=47.9
[13:10:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4436.30 | PINE=FLAT RSI=47.9
[13:11:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4434.24 | PINE=FLAT RSI=47.2
[13:11:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4434.24 | PINE=FLAT RSI=47.2
[13:12:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4434.18 | PINE=FLAT RSI=47.4
[13:12:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4434.18 | PINE=FLAT RSI=47.4
[13:13:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4433.57 | PINE=FLAT RSI=46.8
[13:13:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4433.57 | PINE=FLAT RSI=46.8
[13:14:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4433.35 | PINE=FLAT RSI=47
[13:14:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4433.35 | PINE=FLAT RSI=47
[13:15:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4433.00 | PINE=FLAT RSI=46.1
[13:15:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4433.00 | PINE=FLAT RSI=46.1
[13:16:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4432.93 | PINE=FLAT RSI=46.3
[13:16:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4432.93 | PINE=FLAT RSI=46.3
[13:17:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4433.40 | PINE=FLAT RSI=46.3
[13:17:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4433.40 | PINE=FLAT RSI=46.3
[13:18:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4434.57 | PINE=FLAT RSI=47.2
[13:18:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4434.57 | PINE=FLAT RSI=47.2
[13:19:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4435.06 | PINE=FLAT RSI=47.1
[13:19:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4435.06 | PINE=FLAT RSI=47.1
[13:20:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4434.47 | PINE=FLAT RSI=46.9
[13:20:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4434.47 | PINE=FLAT RSI=46.9
[13:21:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4433.60 | PINE=FLAT RSI=46.6
[13:21:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4433.60 | PINE=FLAT RSI=46.6
[13:22:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4433.41 | PINE=FLAT RSI=46.2
[13:22:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4433.41 | PINE=FLAT RSI=46.2
[13:23:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4431.23 | PINE=FLAT RSI=44.7
[13:23:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4431.23 | PINE=FLAT RSI=44.7
[13:24:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4432.11 | PINE=FLAT RSI=45.1
[13:24:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4432.11 | PINE=FLAT RSI=45.1
[13:25:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4433.20 | PINE=FLAT RSI=46.1
[13:25:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4433.20 | PINE=FLAT RSI=46.1
[13:26:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4432.80 | PINE=FLAT RSI=45.7
[13:26:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4432.80 | PINE=FLAT RSI=45.7
[13:27:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4432.16 | PINE=FLAT RSI=45.7
[13:27:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4432.16 | PINE=FLAT RSI=45.7
[13:28:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4431.98 | PINE=FLAT RSI=45.1
[13:28:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4431.98 | PINE=FLAT RSI=45.1
[13:29:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4430.42 | PINE=FLAT RSI=44.1
[13:29:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4430.42 | PINE=FLAT RSI=44.1
[13:30:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4428.85 | PINE=FLAT RSI=43.2
[13:30:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4428.85 | PINE=FLAT RSI=43.2
[13:31:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4429.35 | PINE=FLAT RSI=43.4
[13:31:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4429.35 | PINE=FLAT RSI=43.4
[13:32:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4429.95 | PINE=FLAT RSI=43.7
[13:32:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4429.95 | PINE=FLAT RSI=43.7
[13:33:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4429.53 | PINE=FLAT RSI=43.2
[13:33:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4429.53 | PINE=FLAT RSI=43.2
[13:34:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4429.90 | PINE=FLAT RSI=43.6
[13:34:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4429.90 | PINE=FLAT RSI=43.6
[13:35:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4430.15 | PINE=FLAT RSI=43.6
[13:35:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4430.15 | PINE=FLAT RSI=43.6
[13:36:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4431.76 | PINE=FLAT RSI=45.5
[13:36:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4431.76 | PINE=FLAT RSI=45.5
[13:37:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4431.31 | PINE=FLAT RSI=45.2
[13:37:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4431.31 | PINE=FLAT RSI=45.2
[13:38:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4431.63 | PINE=FLAT RSI=45.2
[13:38:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4431.63 | PINE=FLAT RSI=45.2
[13:39:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4433.75 | PINE=FLAT RSI=47.2
[13:39:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4433.75 | PINE=FLAT RSI=47.2
[13:40:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4433.26 | PINE=FLAT RSI=47.4
[13:40:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4433.26 | PINE=FLAT RSI=47.4
[13:41:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4433.16 | PINE=FLAT RSI=46.8
[13:41:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4433.16 | PINE=FLAT RSI=46.8
[13:42:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4434.35 | PINE=FLAT RSI=47.6
[13:42:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4434.35 | PINE=FLAT RSI=47.6
[13:43:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4434.80 | PINE=FLAT RSI=47.8
[13:43:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4434.80 | PINE=FLAT RSI=47.8
[13:44:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4433.27 | PINE=FLAT RSI=47.5
[13:44:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4433.27 | PINE=FLAT RSI=47.5
[13:45:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4434.94 | PINE=FLAT RSI=48.4
[13:45:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4434.94 | PINE=FLAT RSI=48.4
[13:46:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4434.24 | PINE=FLAT RSI=48.2
[13:46:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4434.24 | PINE=FLAT RSI=48.2
[13:47:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4431.20 | PINE=FLAT RSI=45.7
[13:47:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4431.20 | PINE=FLAT RSI=45.7
[13:48:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4429.91 | PINE=FLAT RSI=44.5
[13:48:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4429.91 | PINE=FLAT RSI=44.5
[13:49:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4430.40 | PINE=FLAT RSI=45
[13:49:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4430.40 | PINE=FLAT RSI=45
[13:50:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4430.28 | PINE=FLAT RSI=44.8
[13:50:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4430.28 | PINE=FLAT RSI=44.8
[13:51:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4429.44 | PINE=FLAT RSI=44.3
[13:51:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4429.44 | PINE=FLAT RSI=44.3
[13:52:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4428.47 | PINE=FLAT RSI=43.9
[13:52:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4428.47 | PINE=FLAT RSI=43.9
[13:53:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4429.51 | PINE=FLAT RSI=44.4
[13:53:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4429.51 | PINE=FLAT RSI=44.4
[13:54:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4430.36 | PINE=FLAT RSI=44.8
[13:54:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4430.36 | PINE=FLAT RSI=44.8
[13:55:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4430.36 | PINE=FLAT RSI=44.7
[13:55:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4430.36 | PINE=FLAT RSI=44.7
[13:56:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4430.61 | PINE=FLAT RSI=45.2
[13:56:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4430.61 | PINE=FLAT RSI=45.2
[13:57:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4430.65 | PINE=FLAT RSI=44.6
[13:57:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4430.65 | PINE=FLAT RSI=44.6
[13:58:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4430.54 | PINE=FLAT RSI=45.1
[13:58:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4430.54 | PINE=FLAT RSI=45.1
[13:59:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4430.06 | PINE=FLAT RSI=44.8
[13:59:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4430.06 | PINE=FLAT RSI=44.8
[14:00:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4430.43 | PINE=FLAT RSI=44.5
[14:00:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4430.43 | PINE=FLAT RSI=44.5
[14:01:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4431.20 | PINE=FLAT RSI=45.7
[14:01:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4431.20 | PINE=FLAT RSI=45.7
[14:02:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4432.27 | PINE=FLAT RSI=46.2
[14:02:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4432.27 | PINE=FLAT RSI=46.2
[14:03:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4434.72 | PINE=FLAT RSI=48.8
[14:03:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4434.72 | PINE=FLAT RSI=48.8
[14:04:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4432.44 | PINE=FLAT RSI=46.8
[14:04:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4432.44 | PINE=FLAT RSI=46.8
[14:05:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4434.17 | PINE=FLAT RSI=48.1
[14:05:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4434.17 | PINE=FLAT RSI=48.1
[14:06:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4432.86 | PINE=FLAT RSI=47
[14:06:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4432.86 | PINE=FLAT RSI=47
[14:07:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4431.65 | PINE=FLAT RSI=46.1
[14:07:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4431.65 | PINE=FLAT RSI=46.1
[14:08:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4430.98 | PINE=FLAT RSI=46.5
[14:08:18 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4430.98 | PINE=FLAT RSI=46.5
[14:09:19 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4430.25 | PINE=FLAT RSI=45.5
[14:09:19 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4430.25 | PINE=FLAT RSI=45.5
[14:28:12 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4430.33 | PINE=? RSI=?
[14:28:12 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4430.33 | PINE=? RSI=?
[14:29:09 WIB 2026-09-01] GUARD TF: chart tidak di M15 (interval bar 240 mnt) — auto-set M15, siklus ini dilewati
[14:30:08 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4426.16 | PINE=FLAT RSI=42.6
